total_process,memory_percent,read_bytes,read_count,write_bytes,write_count,cpu_usage,ransomware_active
38,13.21884434,513329384,43591,123686015,10894,16.9,0
38,13.21833411,513460456,43592,123686015,10894,16.7,0
38,13.21858923,513460476,43595,123686035,10896,15.6,0
38,13.21867426,513460476,43595,123686035,10896,14.1,0
38,13.2187593,513591548,43596,123686035,10896,15.4,0
38,13.2187593,513591548,43596,123768979,10914,15.6,0
38,13.21918449,513722620,43597,123851923,10932,15.4,0
38,13.21935456,513722640,43600,123851943,10934,15.6,0
38,13.21935456,513853712,43601,123860144,10935,14.1,0
38,13.21935456,513853712,43601,123860144,10935,18.8,0
38,13.21935456,513853712,43601,123860144,10935,15.6,0
38,13.21867426,513984804,43605,123860164,10937,15.6,0
38,13.21867426,513984804,43605,123860164,10937,14.1,0
38,13.21527276,514117100,43657,123860164,10937,30.8,0
38,13.21238148,514117148,43659,123860164,10937,14.1,0
38,13.21272163,514248220,43660,123860164,10937,10.9,0
38,13.21272163,514379312,43664,123860184,10939,29.7,0
38,13.21272163,514438827,43665,123860184,10939,31.2,0
38,13.17181853,514468210,43668,123860184,10939,28.1,0
38,13.21544283,514664818,43669,123895000,10949,29.7,0
38,13.21544283,514795890,43670,123895000,10949,26.6,0
38,13.21586802,514926982,43674,123895020,10951,25,0
38,13.21561291,515058054,43675,123895020,10951,29.7,0
38,13.21561291,515189126,43676,123895020,10951,29.7,0
38,13.21561291,515320198,43677,123895020,10951,31.2,0
38,13.21561291,515451270,43678,123895020,10951,29.7,0
38,13.21561291,515582362,43682,123895040,10953,29.7,0
38,13.21561291,515713434,43683,123895040,10953,29.7,0
38,13.21518772,515713434,43683,123895040,10953,28.1,0
38,13.21586802,515844506,43684,123895040,10953,28.1,0
38,13.21569795,515975578,43685,123895040,10953,29.7,0
38,13.21178622,516106670,43689,123895060,10955,29.7,0
38,13.21076576,516237742,43690,123895060,10955,29.7,0
38,13.21076576,516368814,43691,123895060,10955,25,0
38,13.21034058,516368814,43691,123895060,10955,29.7,0
38,13.20787448,516499886,43692,123895572,10956,29.7,0
38,13.20787448,516631122,43708,123895592,10958,25,0
38,13.20540839,516762506,43734,123895592,10958,25,0
38,13.20540839,516763802,43788,123895592,10958,42.2,0
38,13.20515328,517027026,43835,123895592,10958,39.1,0
38,13.20515328,517159030,43877,123895612,10960,32.8,0
37,12.99128364,517109242,43927,123895612,10960,41.5,0
37,12.99349462,517241092,43950,123895612,10960,31.2,0
37,12.99349462,517373028,43987,123895612,10960,32.8,0
37,12.99349462,517505476,44053,123955004,10974,37.5,0
37,12.99357966,517636616,44059,123955024,10976,29.7,0
37,12.99340958,517767688,44060,123955024,10976,29.7,0
37,12.99289936,517767688,44060,123955024,10976,31.2,0
37,12.99247417,517898760,44061,123955024,10976,28.1,0
37,12.99247417,518029832,44062,123989840,10988,28.1,0
37,12.9929844,518160924,44066,123998053,10991,26.6,0
37,12.99306943,518291996,44067,123998053,10991,28.1,0
37,12.99153876,518423068,44068,123998053,10991,31.2,0
37,12.99128364,518554140,44069,123998053,10991,31.2,0
37,12.98830733,518685212,44070,123998053,10991,29.7,0
37,12.98694672,518816304,44074,123998073,10993,31.2,0
37,12.98609635,518947376,44075,123998073,10993,29.7,0
37,12.98584123,519078448,44076,123998073,10993,26.6,0
37,12.98482078,519209520,44077,123998073,10993,29.7,0
37,12.98201454,519209520,44077,123998073,10993,29.7,0
37,12.98184447,519340948,44095,123998093,10995,28.1,0
37,12.98141928,519473508,44158,123998093,10995,39.1,0
37,13.00046771,519630254,44183,123998093,10995,32.8,0
37,12.93992092,519690479,44265,124014517,10997,100,0
37,12.8788639,520010866,44386,124116329,11093,92.5,0
38,13.06288533,531727490,44484,124116329,11093,75.4,0
37,12.80471108,541073082,44331,124116329,11093,73.4,0
38,12.98864748,541102986,44718,124159337,11103,46.3,0
38,12.98932778,541235138,44764,124159337,11103,35.9,0
38,12.9891577,541366566,44782,124159357,11105,35.9,0
38,12.98890259,541498526,44820,124159357,11105,29.7,0
38,12.98898763,541629838,44831,124159357,11105,31.2,0
37,12.80930312,541710166,44834,124159357,11105,62.9,0
40,13.21654832,541931030,44839,124257599,11107,29.7,0
40,13.21663336,542062122,44843,124257619,11109,29.7,0
40,13.21637825,542062122,44843,124257619,11109,29.7,0
40,13.21646329,542193194,44844,124279685,11110,29.7,0
38,12.98813725,542285522,44843,124350173,11120,29.7,0
38,12.98796718,542416614,44847,124350193,11122,31.2,0
38,12.98762702,542547686,44848,124350193,11122,29.7,0
38,12.98762702,542678758,44849,124350193,11122,29.7,0
38,12.98813725,542679214,44868,124350193,11122,35.9,0
38,12.98796718,542810526,44879,124435485,11132,35.9,0
38,12.98771206,542941858,44893,124436017,11135,34.4,0
38,12.9871168,543073074,44900,124436017,11135,31.2,0
38,12.98720184,543205370,44952,124436017,11135,32.8,0
38,12.98703176,543336442,44953,124436017,11135,31.2,0
38,12.98788214,543336442,44953,124436029,11136,37.5,0
39,13.26935669,544313153,45110,124477013,11149,56.2,0
39,13.26918662,544444225,45111,124477013,11149,29.7,0
39,13.26859135,544575297,45112,124477013,11149,29.7,0
39,13.31408648,544818725,45137,124477173,11151,42.2,0
40,13.40703261,544980077,45142,124485878,11153,29.7,0
40,13.40592712,545111169,45146,124485898,11155,32.8,0
40,13.40575705,545111169,45146,124485898,11155,34.4,0
40,13.40601216,545242241,45147,124485898,11155,32.8,0
40,13.40558697,545373313,45148,124542218,11169,38.5,0
40,13.40660742,545504385,45149,124596252,11170,32.8,0
40,13.40660742,545635477,45153,124596272,11172,35.9,0
40,13.40643735,545766549,45154,124596272,11172,32.8,0
40,13.40431141,545897621,45155,124596272,11172,31.2,0
40,13.40125005,546028693,45156,124617508,11173,31.2,0
40,13.4009099,546159765,45157,124617508,11173,32.8,0
40,13.40048471,546290857,45161,124617528,11175,32.8,0
40,13.4002296,546421929,45162,124617528,11175,33.8,0
40,13.39997449,546553001,45163,124617528,11175,31.2,0
40,13.3995493,546684073,45164,124617528,11175,32.8,0
40,13.398869,546815145,45165,124617528,11175,32.8,0
40,13.3981887,546946237,45169,124617548,11177,31.2,0
40,13.39631787,547077309,45170,124617548,11177,34.4,0
40,13.3961478,547208381,45171,124617548,11177,32.8,0
40,13.39597772,547339453,45172,124617548,11177,32.8,0
40,13.39529742,547470545,45176,124617568,11179,34.4,0
40,13.39495727,547601617,45177,124617568,11179,31.2,0
40,13.36944598,547732785,45182,124617568,11179,29.7,0
40,13.36851057,547863857,45183,124617568,11179,29.7,0
40,13.36766019,547994929,45184,124617568,11179,31.2,0
40,13.367235,548126069,45190,124617588,11181,32.3,0
40,13.36783026,548257153,45192,124617588,11181,29.7,0
40,13.35618011,548388237,45194,124660596,11191,32.3,0
40,13.35601003,548388297,45199,124660596,11191,32.8,0
40,13.3572856,548585277,45232,124660596,11191,29.7,0
40,13.35754071,548716729,45266,124660616,11193,31.2,0
47,15.14460649,978116971,186925,27574913,2179,48.4,0
48,15.55916493,978143373,186927,27575425,2180,18.8,0
48,15.59522089,979237185,187100,27575445,2182,78.8,0
48,15.47803903,980254113,187230,27575445,2182,68.8,0
46,15.20778945,980764287,187263,27575445,2182,0,0
46,15.21816404,990771151,188050,27575445,2182,81.5,0
46,15.22250096,996227583,188438,27624697,2190,42.2,0
45,14.9073515,981713270,187492,27456781,2156,23.4,0
45,15.02776479,981845766,187549,27457037,2158,100,0
45,15.1283643,981845790,187550,27457037,2158,100,0
45,15.21994983,981845790,187550,27457037,2158,100,0
45,15.30464731,981846938,187600,27457057,2160,100,0
45,15.42956758,981852808,187610,27457057,2160,100,0
44,15.22522216,981791506,187612,27457057,2160,100,0
47,15.72719929,981896788,187617,27502081,2161,100,0
47,15.81512819,981897508,187647,27502081,2161,100,0
47,15.90637357,981897576,187652,27502101,2163,100,0
47,16.00297632,981897576,187652,27502101,2163,100,0
45,15.85790212,981858832,187650,27540845,2165,100,0
45,15.9233811,981858832,187650,27558213,2166,100,0
45,16.03971257,981858832,187650,27558213,2166,100,0
45,16.13350908,981858852,187653,27558233,2168,100,0
45,16.20885242,981858852,187653,27558233,2168,100,0
45,16.28164463,981858852,187653,27558233,2168,100,0
45,16.37510098,981858852,187653,27558233,2168,100,0
45,16.4691526,981858872,187656,27558253,2170,100,0
45,16.57136783,981858872,187656,27558253,2170,100,0
45,16.65742591,981858872,187656,27558253,2170,100,0
45,16.75777031,982206776,187657,27558253,2170,100,0
45,16.85360772,982206776,187657,27558253,2170,100,0
45,16.92529444,982206796,187660,27558273,2172,100,0
45,17.0108423,982206796,187660,27558273,2172,100,0
45,17.10574429,982206796,187660,27558273,2172,100,0
45,17.19605425,982206796,187660,27559369,2174,100,0
44,17.1837238,982179676,187307,27559369,2174,100,0
45,17.37777967,982199842,187311,27559389,2176,100,0
45,17.45524895,982199842,187311,27559389,2176,100,0
